source_row,关键词,关键词翻译,趋势,旺季,淡季,综合,月搜索量,月购买量,购买率,SPR,PPC竞价,AC推荐词,流量占比,流量词类型,首个ASIN自然排名,首个ASIN广告排名,预估周曝光量,相关产品,相关ASIN,ABA周排名,unnamed_21,unnamed_22,unnamed_23,unnamed_24,标题密度,商品数,供需比,广告竞品数,点击集中度,前三ASIN转化总占比,unnamed_31,建议竞价范围,#1_前三ASIN,#1_点击共享,#1_转化共享,#2_前三ASIN,#2_点击共享,#2_转化共享,#3_前三ASIN,#3_点击共享,#3_转化共享,前十ASIN
14,car jumper starter portable,汽车跳线启动器便携,"'=DISPIMG(""ID_7DFAC65CC77B4CC5AB9CE37CD9DE54C7"",1)",11-4,5-10,77028.0376276803,85863,3443,0.0401,45,$3.42,,0.0284,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,9,1,138032,13,B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08MFKSVX5/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B08TWVQCDH/B09W2GVWKM/B084YQSVZ6/B07T9S3Q5N,13714,,,,,38,6226,13.33,34,0.4264,0.3957,,$9.00 - $11.00,B074P98SV7,0.1875,0.1833,B084HFQMSZ,0.168,0.1602,B084HFV4MM,0.0709,0.0522,"B074P98SV7,B08ZBL16X3,B074P9D8JK,B00LWUP3QI,B084HFV4MM,B08QFMP8RG,B016149MSE,B0013ME96A,B00LWUP5V6,B08YGMQZT7"
15,air compressor,空气压缩机,"'=DISPIMG(""ID_3EAF8AD752A04001A8DC70A5745D7526"",1)",9-4,5-8,75471.0295302211,211547,2771,0.0131,37,$2.75,,,自然搜索词,177,,0,1,B0CGJ5GZWM,2474,,,,,0,935,53.49,28,0.5493,0.4581,,'-,B07W46BX31,0.3491,0.3132,B074Z2NFWW,0.1383,0.1234,B07W3QSMF9,0.062,0.0215,"B07W46BX31,B074Z2NFWW,B0B3RJCNS5,B094VQ88X2,B098JVY4B9,B06XWDZ2KQ,B0BCGFZBYN,B0CMGKRJR2,B00068XCQU,B0B67W12TL"
16,portable battery jump starter for car,便携式汽车电池启动器,"'=DISPIMG(""ID_B8FF4F93BBFA4BC498D0E1BDA396926F"",1)",10-4,5-9,72476.0277894737,14120,1437,0.1018,19,1.5,,0.0067,自然搜索词/品牌广告词/视频广告词,9,1,32464,12,B07T9S3Q5N/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B015TKUPIC/B09F9CR89W/B084YQSVZ6/B09W2GVWKM,101992,,,,,5,168,236.49,49,0.5593,0.2457,,$9.00 - $11.00,B08S5J9W1L,0.2831,0.0776,B0CLW9MT3M,0.2196,0.1638,B08S98MMQF,0.0566,0.0043,"B08S5J9W1L,B0CLW9MT3M,B08S98MMQF,B0948KB3SV,B0CFCD1328,B091BJZ2QJ,B00RM5FI5I,B0BLNBFDPL,B07L6N7XM6,B0BBG66G8T"
17,battery charger car jump starter,电池充电器汽车启动器,"'=DISPIMG(""ID_C0A01903A0F74E30AADCA7B295A414A8"",1)",10-4,5-9,69942.9509333333,14228,1374,0.0966,18,1.5,,0.0052,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,25375,11,B08MFKSVX5/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B07T9S3Q5N/B084YQSVZ6,123174,,,,,44,4364,48.95,141,0.4111,0.3823,,$0.82 - $1.99,B07W46BX31,0.1663,0.1299,B097D397M6,0.1628,0.2007,B07JJT7GGF,0.082,0.0517,"B097D397M6,B07JJT7GGF,B0B67W12TL,B094VQ88X2,B0CJXWDFSC,B07BLLRM8R,B07895WM6P,B098JVY4B9,B08PQ28NPB,B0B3RJCNS5"
18,jump start battery pack,启动电池组,"'=DISPIMG(""ID_3E37C30E8CD44A3EBFED921A1B034417"",1)",10-4,5-9,68254.4549397049,65629,6037,0.092,79,$6.76,,0.0193,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,93737,11,B09W2GVWKM/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B07T9S3Q5N,31004,,,,,15,1472,81.24,113,0.4722,0.3948,,$3.35 - $5.82,B015TKUPIC,0.2722,0.2118,B09F9CR89W,0.1237,0.1047,B0C42Y5TPD,0.0764,0.0783,"B09F9CR89W,B0CCKR3FTB,B087LRFYDB,B0C42Y5TPD,B015TKUPIC,B0CLX19L28,B08GYFP5JK,B0C4XWBJKF,B0CGCRHS2Z,B0C8HZF96X"
19,trickle charger,涓流充电器,"'=DISPIMG(""ID_9D4C31DCD37047B58AEFAE38D7451785"",1)",8-2,3-7,67214.9198987021,43244,2914,0.0674,39,$3.24,,,SP广告词,,148,116,2,B08NPGCFSG/B09HJH1S41,30996,,,,,0,1388,36.04,55,0.4959,0.4205,,$0.52 - $2.15,B015TKUPIC,0.3038,0.2489,B07Z1D26CS,0.1032,0.0949,B0CH9LFCZ4,0.089,0.0767,"B07Z1D26CS,B08T6KPF2F,B079LHNH8D,B09F9CR89W,B015TKUPIC,B0CH9LFCZ4,B0CGCRHS2Z,B073VHZVZY,B0CD7X1S44,B0CN91TGQW"
20,car air compressor,汽车空气压缩机,"'=DISPIMG(""ID_E695B5C005214B548DBB4A3C92980598"",1)",8-3,4-7,65442.0809603842,15179,2088,0.1376,28,$2.38,,,自然搜索词,50,,0,1,B0CGJ5GZWM,100225,,,,,0,170,418.59,20,0.6327,0.4405,,'-,B0B52K15VY,0.2835,0.0365,B08KJN6M1Y,0.2785,0.3746,B08KJNJJL2,0.0709,0.0294,"B08KJNJJL2,B0B52K15VY,B0B52JLW4W,B088W5748B,B0829FTQVF,B09KRLTGZR,B08MSY7S6V,B083SD2GH1,B0CGJ5GZWM,B0C7T25BB7"
21,car battery charger portable,便携式汽车电池充电器,"'=DISPIMG(""ID_DA7BFCE638604A9CAA55F5D35DDB6E47"",1)",8-4,5-7,64999.7445937351,22877,2859,0.125,38,$3.31,,0.0051,自然搜索词/品牌广告词,8,1,24853,12,B08MFKSVX5/B0CGJ5GZWM/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09HJH1S41/B084YQSVZ6/B09W2GVWKM/B08TWVQCDH,120750,,,,,1,695,94.43,67,0.4623,0.3535,,$5.07 - $8.44,B015TKUPIC,0.2524,0.1949,B08T637RW9,0.1505,0.1312,B016UG6PWE,0.0594,0.0274,"B08T637RW9,B0CCKR3FTB,B0CFTS22D4,B07X7YZYFV,B0CGCRHS2Z,B0C8HZF96X,B015TKUPIC,B0CLRSMCB7,B0CGJ5GZWM,B016UG6PWE"
22,car jumper,汽车跳线,"'=DISPIMG(""ID_0DD25B53844C4DA3A0E64EEC515B3A96"",1)",8-2,3-7,53740.9071637427,17992,2425,0.1348,32,$3.42,,0.0063,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,6,17,30403,11,B08TWVQCDH/B08MFKSVX5/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B07T9S3Q5N,103451,,,,,0,216,554.41,35,0.6711,0.5955,,$0.83 - $1.39,B015TKUPIC,0.3869,0.402,B016UG6PWE,0.1787,0.1242,B015TKSSB8,0.1056,0.0693,"B015TKUPIC,B08WZFPXFM,B0924V8SPC,B08WYKD6TY,B016UG6PWE,B07MVY7K43,B015TKSSB8,B015TKPT1A,B08WZKRHZZ,B07C2XLR3J"
23,jumper box for car battery portable,车载电池便携跳线盒,"'=DISPIMG(""ID_D8047327B56E443AA1C98F52FAA55B98"",1)",8-2,3-7,47040.771547619,17254,562,0.0326,8,$0.84,,0.0072,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,4,58,35001,12,B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B084YQSVZ6/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B08TWVQCDH,91487,,,,,0,772,186.6,115,0.4221,0.3412,,$0.90 - $3.25,B015TKUPIC,0.2755,0.2043,B0C42Y5TPD,0.0827,0.084,B0C1SBXT8V,0.0639,0.0529,"B0C1SBXT8V,B087LRFYDB,B015TKUPIC,B0CGJ5GZWM,B002X6VXL4,B0CGCRHS2Z,B0CCDJS5GH,B0CN91TGQW,B0BZP6HCVS,B09W5SFK6L"
24,car booster,汽车助推器,"'=DISPIMG(""ID_C57C87348DE34AFAA738DDC716388BD9"",1)",8-2,3-7,45322.7162790698,2440,312,0.128,5,$0.43,,0.0006,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,2947,11,B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B016UG6PWE/B0C7BS8P5Y/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B08MFKSVX5/B07T9S3Q5N/B08NPGCFSG,690429,,,,,0,726,77.31,16,0.6413,0.4218,,$2.09 - $3.50,B09F9CR89W,0.3513,0.2232,B015TKUPIC,0.2539,0.158,B09ZXSWTJQ,0.0361,0.0406,"B000JFHNQA,B09F9CR89W,B0C5X8CVNJ,B0CGCRHS2Z,B002X6VXL4,B0C7BS8P5Y,B000JFJLP6,B015TKUPIC,B0C6JV981H,B0C4Y9NTQT"
25,trickle charger for car battery,汽车电池的涓流充电器,"'=DISPIMG(""ID_1F34BFFA9833465499A88C0D6149241A"",1)",8-2,3-7,43523.025,15487,1365,0.0882,18,$2.38,,,SP广告词,,130,0,1,B09W2GVWKM,167950,,,,,52,1621,105.16,181,0.4124,0.2934,,$2.84 - $3.97,B015TKUPIC,0.2305,0.1619,B09F9CR89W,0.1306,0.1101,B016UG6PWE,0.0513,0.0214,"B087LRFYDB,B0CCKR3FTB,B09F9CR89W,B015TKUPIC,B0C5X8CVNJ,B016UG6PWE,B0C8HZF96X,B08WZFPXFM,B0C4XWBJKF,B015TKSSB8"
26,portable car battery charger,便携式汽车电池充电器,"'=DISPIMG(""ID_1D9AB5F2FFCA4E4A857A696D6D295ECE"",1)",8-2,3-7,39836.62595,15323,1829,0.1194,24,$3.50,,0.0042,自然搜索词,4,,20352,13,B0CGJ5GZWM/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08MFKSVX5/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09HJH1S41/B084YQSVZ6/B09W2GVWKM/B08TWVQCDH/B07T9S3Q5N,127939,,,,,3,396,137.13,,0.6513,0,,$1.00 - $1.67,B00BR1GNUC,0.4905,0,B00KVLQOBW,0.0978,0,B0081L37Z0,0.063,0,"B0081L37Z0,B00PRX7KYE,B07MZFC574,B07MZDC67P,B07MZFSKFH,B07MZDQ75H,B07MZ9Q1MY,B000O05L6Y,B0B6GNZLS1,B003Y5H5B0"
27,6v battery charger,6v电池充电器,"'=DISPIMG(""ID_A8C71DB8400B43E38167CFCEBAE5D8FF"",1)",8-2,3-7,38639.8774131945,5566,667,0.1199,9,$1.28,,,SP广告词,,164,16,1,B09HJH1S41,237522,,,,,44,142,253.81,142,0.5817,0.5183,,$1.60 - $2.66,B0BGWRWRX2,0.2858,0.2344,B0B9447P5P,0.1923,0.2194,B0C141QZVL,0.1037,0.0645,"B0BGWRWRX2,B09YD2D96V,B0C141QZVL,B0C36BBF7Y,B0B9447P5P,B0CJDZVDJN,B097BJ8WP7,B0C7V33VT7,B09GW2NC12,B0B9H1XS2X"
28,battery maintainer 12 volt,12伏电池维护器,"'=DISPIMG(""ID_EBC6B2455E634D9CA2E6EB65283F2C8B"",1)",8-2,3-7,38592.7457142857,14362,900,0.0627,12,$1.75,,,SP广告词,,94,34,1,B08MFKSVX5,126295,,,,,4,79,412.09,13,0.9569,0,,$0.93 - $1.54,B00BRA0Z84,0.7035,0,B0BQTJ5W37,0.2183,0,B005B7I0S6,0.0351,0,"B008Y7DRHE,B0B8MVHH2N,B003Y5H58S,B0076QDUQM,B001FT4PK6,B003Y5H592,B01GWCDLAU,B00B99LIZ2,B09PMMZ2JJ,B0B8TRM295"
29,jump box for car battery,汽车电瓶跳箱,"'=DISPIMG(""ID_EAF8F1DDE88E479A9C083776CDDA2036"",1)",8-3,4-7,38234.6354526316,36368,1476,0.0406,20,$2.85,,0.0161,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,54,78002,11,B07T9S3Q5N/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B087LRFYDB/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B08MFKSVX5/B084YQSVZ6,34626,,,,,11,2779,11.08,10,0.7975,0.0278,,$0.27 - $0.44,B01N97WVDZ,0.7034,0,B01MSPEQY2,0.059,0,B0CBG9TVHW,0.0353,0.0278,"B07TCQR57B,B01CDMU3KE,B0CBG9TVHW,B01CDMU38G,B00TABU92O,B07T9P3M7Z,B0BCR1WM9S,B0C83NCR2Z,B07RWKRDWW,B08HFR9XZ8"
30,car jump starter,汽车起爆器,"'=DISPIMG(""ID_854C5F5AA0A941A4B7A4CFEA5F1D77DE"",1)",7-2,3-6,35286.7467657343,42665,1681,0.0394,22,$3.64,,0.0144,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,69763,12,B08MFKSVX5/B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B07T9S3Q5N/B08TWVQCDH/B084YQSVZ6,38927,,,,,6,22548,1.75,16,0.2716,0,,$0.21 - $0.34,B0B8TRN3XS,0.1713,0,B07N4R2DFC,0.0512,0,B00CSBKNQK,0.0491,0,"B0B8TRVWVS,B0B76KS8QD,B0B8T68R2X,B08454PH7M,B09J7RCMC7,164097475X,B0091WCZ6A,B0B7BW74DK,B011D90LDC,1426205872"
31,12 volt battery charger,12伏电池充电器,"'=DISPIMG(""ID_6385F8239CB84F5EBBAE1915B9A62F07"",1)",8-3,4-7,34890.520444092,16633,938,0.0564,13,$1.94,,,品牌广告词,,75,171,3,B016UG6PWE/B084YQSVZ6/B015TKUPIC,70738,,,,,0,1406,24.68,52,0.504,0.3687,,$0.18 - $0.21,B015TKUPIC,0.2594,0.2042,B08GYFP5JK,0.1832,0.1338,B0924V8SPC,0.0614,0.0307,"B08GYFP5JK,B0C4XWBJKF,B087LRFYDB,B0CGJ5GZWM,B0C8HZF96X,B015TKUPIC,B0BZP6HCVS,B09F9CR89W,B0CGCRHS2Z,B002X6VXL4"
32,jump box,跳箱,"'=DISPIMG(""ID_323CB0E638824F76A6D8A9A655642B1E"",1)",7-2,3-6,32923.252394098,67088,1663,0.0248,22,$3.82,,0.0206,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,6,1,99953,11,B07T9S3Q5N/B09W2GVWKM/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B084YQSVZ6/B087LRFYDB,21561,,,,,16,32227,0.83,27,0.6715,0,,$3.03 - $4.94,B00BRA0Z84,0.4218,0,B00VUOHAAS,0.1253,0,B00BU7XBOO,0.1244,0,"B015TKUPIC,B000JFJLP6,B0CCKR3FTB,B0C4Y9NTQT,B0C6JV981H,B0C8HZF96X,B0C5X8CVNJ,B01GQDBNWS,B09ZXSWTJQ,B08MDYKRBS"
33,jump starters,跳跃式启动器,"'=DISPIMG(""ID_A5F2C7510F3C44328473BB335B0102C8"",1)",9-2,3-8,32819.7231186174,26921,1445,0.0537,19,$3.35,,0.0072,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,34983,12,B08MFKSVX5/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B07T9S3Q5N/B084YQSVZ6,88513,,,,,1,770,111.51,47,0.4659,0.3358,,$2.56 - $4.28,B015TKUPIC,0.2536,0.1796,B07X7YZYFV,0.1479,0.1212,B0924V8SPC,0.0645,0.035,"B07X7YZYFV,B087LRFYDB,B0CGJ5GZWM,B015TKUPIC,B0CGCRHS2Z,B0BZP6HCVS,B0C4XWBJKF,B0CCKR3FTB,B0CN9243NQ,B002X6VXL4"
34,air compresor,空气压缩机,"'=DISPIMG(""ID_7BE48A69D76547218352C32F327EA520"",1)",3-11,12-2,30376.115,1799,110,0.0614,2,$0.20,,,自然搜索词,124,,0,1,B0CGJ5GZWM,1085930,,,,,0,413,120.56,20,0.8151,0.7796,,$0.54 - $0.89,B0CC394T33,0.7339,0.7001,B0CMSMNWF9,0.0411,0.0557,B01MQ1JLWY,0.0401,0.0238,"B0CC394T33,B0CJ68T8S5,B07KBDRDDZ,B0CMSMNWF9,B01MQ1JLWY,B09TXCNX1Y,B089C1DCMC,B0BY1HDQDN,B08TVJM4S7,B09W1R4JJ9"
