source_row,图片,ASIN,SKU,详细参数,品牌,品牌链接,商品标题,商品详情页链接,商品主图,PASIN,亚马逊标识,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,近30天销量,近30天销量增长率,子体销量,近30天销售额($),近30天销售额增长率($),价格($),Prime价格($),Coupon,毛利率,FBA($),评分,评分数,留评率,月新增_评分数,Q&A数,评级,上架时间,上架天数,LQS,变体数,卖家数,Buybox卖家,BuyBox类型,卖家所属地,卖家信息,卖家首页,配送方式,重量,重量_2,体积,体积_2
12,,B0CF4GQK5J,Color: Black,Brand: NUSTE | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 35 dB,NUSTE,https://www.amazon.com/stores/NUSTE/page/69C5A00B-85F7-489A-BB13-805230260EBA?ref_=ast_bln,"NUSTE Cordless Tire Inflator And Bike Pump Portable Air Compressor, 150PSI 3X Faster Air Pump for Inflatables With 15000mAh, 12V DC Auto Shut-Off With Pressure Gauge LED Lgiht for Motorcycle,Ball",https://www.amazon.com/dp/B0CF4GQK5J?psc=1,https://images-na.ssl-images-amazon.com/images/I/71j6LctXL+L._AC_US600_.jpg,B0CRRCSFB3,ABS A+,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1928,1875,0.4151,Wheel & Tire Air Compressors & Inflators,61,911,'-0.2928,800+,45540.89,'-0.2928,49.99,,20%,0.6912,7.94,4.8,128,0.0231,21,14,,2023-08-08,160,10,1,4,Dehudirect,FBA,CN,"公司名称：ShanXiZeMingKeJiCo.,Ltd
办公地址：
小店区坞城街道亲贤北街29号
太航苑小区39号楼2单元301室
太原市
山西
030000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A3OM466B3I4MJH,FBA,0.7 Kilograms,700.00 g,"3.1""L x 2.2""W x 7.2""H",
13,,B095LYVHCW,,Color: Popular | Brand: Buachois | Material: Braided Fabric + Brass | Item Weight: 0.05 Kilograms | Power Source: Corded Electric,Buachois,https://www.amazon.com/Buachois/b/ref=bl_dp_s_web_120278675011?ie=UTF8&node=120278675011&field-lbr_brands_browse-bin=Buachois,Buachois Tire Inflator Extension Tube Tyre Pump Quick Inflation Chuck Adapter Hose Quick-Inflation Clip Connector High-Pressure Tube Car Motorcycle Maintenance Accessories,https://www.amazon.com/dp/B095LYVHCW?psc=1,https://images-na.ssl-images-amazon.com/images/I/319Nlk3YTvL._AC_US600_.jpg,B095LYVHCW,AC ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,1963,'-281,'-0.1761,Wheel & Tire Air Compressors & Inflators,62,1335,'-0.3293,"1,000+",14004.149,'-0.3293,9.99,,5%,0.524,3.42,4.3,586,0.027,36,5,,2021-05-21,969,8,1,2,Fangzouns,FBA,CN,"公司名称：Wuhan zhuyuan wangluokeji youxiangongsi
办公地址：
光谷新汇2号地块1层（30）商业号二层
武汉市
东湖新技术开发区
湖北省
430000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AXD5FRSZPVM2D,FBA,0.05 Kilograms,50.00 g,4.72 x 4.09 x 0.67 inches,11.99 x 10.39 x 1.70 cm
14,,B0BJJ93V88,,Brand: Airmoto | Power Source: Battery Powered | Maximum Pressure: 120 Pound per Square Inch | Operation Mode: Automatic,Airmoto,https://www.amazon.com/stores/Airmoto/page/5C4CC60A-592B-41D0-96AA-51706E21FBBD?ref_=ast_bln,Airmoto and Power Kit Bundle Deal (1-Pack),https://www.amazon.com/dp/B0BJJ93V88?psc=1,https://images-na.ssl-images-amazon.com/images/I/619hQvQPRkL._AC_US600_.jpg,B0BJJ93V88,AC ABS,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2016,'-1,'-0.0005,Wheel & Tire Air Compressors & Inflators,63,2025,3.0506,,200475,3.0506,99,,,0.85,,4.8,65,0.0143,29,,,2022-10-16,456,7.8,1,1,Airmoto Smart Pumps,FBA,US,"公司名称：Creatunity LLC
电话号码：888-855-6433
办公地址：
120 Turtle Creek Blvd 505
DALLAS
TX
75207
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AML19SOQNINVQ,FBA,,,,
15,,B0CMBZ6R3V,,Brand: Craftsman | Material: Rubber | Item Weight: 2.36 Pounds | Power Source: Battery Powered | Maximum Pressure: 150 Pound per Square Inch,Craftsman,https://www.amazon.com/stores/CRAFTSMAN/page/1856ED19-1C90-48CA-A5F8-54FC2B6B4F6F?ref_=ast_bln,"Craftsman V20 Cordless Inflator for Tires and Balls, High Pressure, PSI of 150, Bare Tool Only (CMCE521B)",https://www.amazon.com/dp/B0CMBZ6R3V?psc=1,https://images-na.ssl-images-amazon.com/images/I/71fPPyyHI5L._AC_US600_.jpg,B0CMBZ6R3V,,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2045,698,0.2298,Wheel & Tire Air Compressors & Inflators,64,689,40.4167,600+,27553.111,40.4167,39.99,,,0.6849,6.6,5,4,0.0029,2,3,,2023-11-01,75,8.2,1,2,Amazon.com,AMZ,,,,AMZ,2.36 Pounds,1.07 kg,8.86 x 8.86 x 3.54 inches,22.50 x 22.50 x 8.99 cm
16,,B0BZH3K49Y,Color: Dark Black,"Brand: TEMOLA | Voltage: 12 Volts | Power Source: Battery Powered | Special Feature: Portable, Double Screen, Cordless | Included Components: Power Cord, Pressure Gauge, Battery",TEMOLA,https://www.amazon.com/stores/AutomotiveProducts/page/C437F9B9-2788-457A-BDCA-60A7F11C4C83?ref_=ast_bln,"TEMOLA Tire Inflator Portable Air Compressor, Powerful Cordless Tire Inflator with LED Light, Mini Air Pump Car Accessories Essentials for Men, Tire Pump with Pressure Gauge for Car Motorcycle Bicycle",https://www.amazon.com/dp/B0BZH3K49Y?psc=1,https://m.media-amazon.com/images/I/41YPCCmQZuL._AC_US600_.jpg,B0CLGB7PWC,ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2052,2932,0.6527,Wheel & Tire Air Compressors & Inflators,65,1439,0.4886,300+,33082.61,0.4886,22.99,,,0.6466,6.1,4.3,412,0.0473,68,12,,2023-03-24,297,10,2,1,Manso US,FBA,CN,"公司名称：PENG HONG RI
办公地址：
京基御景中央花园二期3栋5-D
深圳
龙岗区
广东
518172
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A3L75ZJ8LID4WV,FBA,1.57 pounds,712.14 g,8.27 x 5.71 x 3.19 inches,21.01 x 14.50 x 8.10 cm
17,,B005ASY23I,Style: Air Compressor,Brand: VIAIR | Voltage: 12 Volts | Recommended Uses For Product: Tire Inflation | Power Source: 12v Battery (Alligator Clamps) | Noise Level: 76 dB,VIAIR,https://www.amazon.com/stores/VIAIRCORPORATION/page/96E139B3-C405-40B9-9627-D6337BD692DA?ref_=ast_bln,"VIAIR 88P - 00088 Portable Compressor Kit with Alligator Clamps, Tire Inflator, Tire Air Pump, 12V, 120 PSI, for Up to 33 Inch Tires",https://www.amazon.com/dp/B005ASY23I?psc=1,https://images-na.ssl-images-amazon.com/images/I/51JGFpbZhZL._AC_US600_.jpg,B01HB17MDI,AC ABS V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2062,'-90,'-0.0409,Wheel & Tire Air Compressors & Inflators,66,1285,'-0.0032,"1,000+",105292.91,'-0.0032,81.94,,,0.7427,8.79,4.7,7229,0.0319,41,447,,2011-07-05,4577,8.1,1,32,Amazon.com,AMZ,,,,AMZ,4.5 Pounds,2.04 kg,"9.8""L x 3.2""W x 5.6""H",
18,,B0BTLY6KF6,Color: Black,"Brand: Tanmqin | Voltage: 20 Volts | Power Source: Corded Electric | Special Feature: Automatic Shut Off, Quick Inflation | Included Components: Battery",Tanmqin,https://www.amazon.com/stores/Tanmqin/page/AB72D37B-B44D-4FAA-8DC3-AA03784DAE97?ref_=ast_bln,"Air Compressor Bag Case Compatible with DEWALT 20V MAX Tire Inflator DCC020IB, Cordless Tools Storage Holder Organizer with Pocket for Battery Pack and Charging Kit (Box Only)",https://www.amazon.com/dp/B0BTLY6KF6?psc=1,https://images-na.ssl-images-amazon.com/images/I/81wSNyK0JSL._AC_US600_.jpg,B0CFR128YL,AC NR ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2243,'-128,'-0.056,Wheel & Tire Air Compressors & Inflators,67,1264,0.0936,"1,000+",37907.36,0.0936,29.99,,,0.5729,8.31,4.7,265,0.0396,50,32,,2023-01-31,349,10,2,2,Tanmqin,FBA,CN,"公司名称：shen zhen shi wen zha wen da ke ji you xian gong si
办公地址：
宝龙街道同乐社区深汕路428号宝龙工业区H栋103
深圳市
龙岗区
广东省
518110
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A35ISB13CH04Z3,FBA,11.7 ounces,331.69 g,14.57 x 11.34 x 4.09 inches,37.01 x 28.80 x 10.39 cm
19,,B0CHXYPRTS,Color: Gray,"Brand: Hefoo Home | Voltage: 12 Volts (DC) | Recommended Uses For Product: Car Tires, ATV Cars, Big Car Tires | Power Source: Battery Powered | Noise Level: 64.98 dB",Hefoo Home,https://www.amazon.com/stores/HefooHome/page/E8616F36-4F07-46B0-97C1-11CD3E73B3E4?ref_=ast_bln,"Portable Tire Inflator Air Compressor, 160PSI Rechargeable Cordless Smart Air Pump for Car Tires with Digital LCD Display, 4X Faster Auto Electric Bike Pump Tire Pump for Car, Motorcycle, Truck",https://www.amazon.com/dp/B0CHXYPRTS?psc=1,https://images-na.ssl-images-amazon.com/images/I/41aWgFZahRL._AC_US600_.jpg,B0CRTBQJ9T,ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2369,8822,0.8041,Wheel & Tire Air Compressors & Inflators,68,589,1.2211,500+,29438.22,1.2211,49.98,,10%,0.728,6.1,4.7,84,0.0679,40,,,2023-09-12,125,9.9,1,1,Woot.,FBA,CN,"公司名称：shenzhenshihuameiyukejiyouxiangongsi
办公地址：
大富工业区20号硅谷动力智能终端产业园A1栋101
龙华区
观澜街道大富社区
深圳市
518110
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A18Y80ZSHONB7P,FBA,0.88 Kilograms,880.00 g,"6.77""L x 2.2""W x 3.35""H",
20,,B0B6JPPHKG,Color: Black,Brand: OAK & IRON | Voltage: 11.1 Volts | Recommended Uses For Product: Tire Inflation | Power Source: Battery Powered | Noise Level: 80 dB,OAK & IRON,https://www.amazon.com/stores/OAKIRON/page/92EA69AC-AB20-4538-87CB-88040362AD90?ref_=ast_bln,"OAK & IRON Battery Tire Inflator 2X Faster Inflation Portable Air Compressor 150PSI Cordless Tire Pump with LED Screen for Cars, Bikes, Motorcycles, and Balls",https://www.amazon.com/dp/B0B6JPPHKG?psc=1,https://m.media-amazon.com/images/I/41bbwLclVQL._AC_US600_.jpg,B0CQXNLBK2,ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Unique Finds,879,,0,"Wheel & Tire Air Compressors & Inflators
Unique Home","69
114",23,'-1,700+,1838.85,'-1,79.95,67.96,30%,0.7624,7,4.6,574,0.6957,16,31,,2022-07-13,551,9.9,2,3,Oak&Iron Direct,FBA,US,"公司名称：OAK & IRON Technology LLC
办公地址：
30 N Gould St
Ste R
Sheridan
WY
82801
US",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A10WX4DZJPFFYZ,FBA,2.81 Pounds,1.27 kg,"5.48""L x 2.17""W x 3.97""H",
21,,B0CJDQRXM5,,"Brand: KUXISA | Voltage: 12 Volts | Recommended Uses For Product: Air Brushing | Power Source: Corded Electric | Special Feature: Portable, LED Light, Automatic Shut Off",KUXISA,https://www.amazon.com/stores/KUXISA/page/ED9965AA-9B83-4B82-8D50-F456E9817572?ref_=ast_bln,"Tire Inflator Portable Air Compressor, 20000mAh & 150PSI Portable Air Pump for Car Tires with LCD Dual Screen, 2X Faster Inflation Electric Air Pump for Cars, Bikes & Motorcycle Tires, Ball",https://www.amazon.com/dp/B0CJDQRXM5?psc=1,https://images-na.ssl-images-amazon.com/images/I/41x+Hpm10ML._AC_US600_.jpg,B0CJDQRXM5,BS ABS A+ V,Automotive:Tires & Wheels:Accessories & Parts:Air Compressors & Inflators,Automotive,2412,'-435,'-0.1916,Wheel & Tire Air Compressors & Inflators,70,1252,0.9672,"1,000+",100147.48,0.9672,79.99,,25%,0.7774,5.81,4.8,178,0,0,10,,2023-09-19,118,9.5,1,5,zwb,FBA,CN,"公司名称：Quanzhou Jiangzhen Cultural Media Co., Ltd
办公地址：
丰泽区
滨海街1551号万科城市之光二期12幢503室
泉州市
福建
362000
CN",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=ANOGSTEF0OCIV,FBA,1.3 Pounds,589.67 g,5.71 x 3.27 x 2.91 inches,14.50 x 8.31 x 7.39 cm
